SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
關山,臺東縣,13,,良好,1.1,-,-,14.6,14,13,2,1.3,2.2,0.8,3.5,214,2021/8/17 16:00,1,12,0,121.161933,23.045083,80
麥寮,雲林縣,21,,良好,0.9,0.07,0,,23,,,3.6,4.6,1,3.8,238,2021/8/17 16:00,5,14,1,120.251825,23.753506,83
富貴角,新北市,33,,良好,0.4,0.09,0.1,32.5,36,16,8,0.5,0.6,0.1,2.8,247,2021/8/17 16:00,7,17,0,121.54738,25.29228,84
大城,彰化縣,21,,良好,1.7,0.03,0,20.1,23,8,2,0.8,1.9,1,2.6,272,2021/8/17 16:00,4,12,1,120.2696417,23.85493056,85
彰化(員林),彰化縣,28,,良好,2.4,0.1,0.1,37.5,30,18,8,5.5,6.7,1.1,1.5,278,2021/8/17 16:00,7,15,1,120.5817861,23.95058333,201
臺南(麻豆),臺南市,26,,良好,1.1,0.1,0.1,32.4,28,16,7,4.6,7.2,2.5,1.3,209,2021/8/17 16:00,6,16,1,120.2458306,23.17904722,203
屏東(琉球),屏東縣,27,,良好,0.4,0.12,0.1,14.4,15,7,9,0.6,1.2,0.6,1.1,173,2021/8/17 16:00,8,15,0,120.37722,22.35222,204
新北(樹林),新北市,39,,良好,0.9,0.22,0.2,42.2,38,18,8,8.4,9.6,1.1,0.7,15,2021/8/17 16:00,11,25,0,121.3835278,24.94902778,311
臺南(學甲),臺南市,24,,良好,0.4,0.11,0.1,26.2,26,14,6,4.6,11.2,6.5,2,250,2021/8/17 16:00,6,14,0,120.1833972,23.23688056,312
屏東(枋寮),屏東縣,17,,良好,0.1,0.06,0,17,18,,1,0.9,0.9,0,0.3,250,2021/8/17 16:00,1,,0,120.5911667,22.37094722,313
